PersonID FriendID FriendshipType FriendshipDescription
5 360 3 Spiritual_Member
5 417 3 Member
5 453 3 Worker_(Salesman)
5 454 3 Spiritual_Member
5 583 3 Spiritual_Member
5 584 3 Spiritual_Member
5 604 3 Spiritual_Member
5 643 3 Spiritual_Member
8 533 3 Worker_(Teacher)
8 351 3 Worker_(Nurse)
8 421 3 Worker_(Nurse)
8 69 3 Spiritual_Member
8 164 3 Spiritual_Member
8 258 3 Spiritual_Member
8 278 3 Spiritual_Member
8 333 3 Spiritual_Member
8 571 3 Spiritual_Member
8 637 3 Spiritual_Member
8 718 3 Spiritual_Member
8 613 3 Member
8 9 1 Spouse
8 406 0 Child
8 40 3 Student
8 45 3 Worker_(Doctor)
8 134 3 Spiritual_Member
8 141 3 Worker_(Doctor)
8 183 3 Worker_(Doctor)
8 204 3 Student
8 368 3 Spiritual_Member
8 399 3 Student
8 522 3 Spiritual_Member
9 8 1 Spouse
9 304 3 Student
9 331 3 Student
9 432 3 Worker_(Child_Care)
9 509 3 Worker_(Child_Care)
9 556 3 Worker_(Child_Care)
9 638 3 Worker_(Child_Care)
9 383 3 Worker_(Social_Worker)
9 642 3 Worker_(Child_Care)
9 57 3 Worker_(Child_Care)
9 38 3 Spiritual_Member
9 60 3 Spiritual_Member
9 102 3 Spiritual_Member
9 140 3 Spiritual_Member
9 182 3 Spiritual_Member
9 332 3 Spiritual_Member
9 384 3 Spiritual_Member
9 388 3 Spiritual_Member
9 612 3 Spiritual_Member
9 700 3 Spiritual_Member
9 406 0 Child
9 63 3 Worker_(Child_Care)
9 94 3 Worker_(Child_Care)
9 146 3 Worker_(Child_Care)
9 149 3 Student
9 228 3 Worker_(Child_Care)
9 286 3 Spiritual_Member
9 330 3 Spiritual_Member
9 334 3 Spiritual_Member
9 342 3 Worker_(Child_Care)
9 381 3 Worker_(Child_Care)
9 441 3 Member
9 489 3 Member
9 531 3 Member
9 643 3 Worker_(Child_Care)
9 649 3 Worker_(Child_Care)
10 130 3 Student
10 127 3 Worker_(Consultant)
10 221 3 Worker_(Accountant)
10 273 3 Worker_(Consultant)
10 487 3 Worker_(Accountant)
10 134 3 Spiritual_Member
10 204 3 Spiritual_Member
10 258 3 Spiritual_Member
10 276 3 Spiritual_Member
10 333 3 Spiritual_Member
10 571 3 Spiritual_Member
10 677 3 Spiritual_Member
10 552 3 Member
10 11 1 Spouse
10 407 0 Child
10 69 3 Spiritual_Member
10 164 3 Spiritual_Member
10 183 3 Spiritual_Member
10 232 3 Spiritual_Member
10 522 3 Spiritual_Member
10 529 3 Worker_(Business_Administration)
11 10 1 Spouse
11 331 3 Student
11 68 3 Worker_(Scientist)
11 109 3 Worker_(Scientist)
11 315 3 Worker_(Psychologist)
11 343 3 Worker_(Mathematician)
11 559 3 Worker_(Scientist)
11 262 3 Worker_(Scientist)
11 116 3 Worker_(Scientist)
11 466 3 Worker_(Scientist)
11 224 3 Worker_(Psychologist)
11 709 3 Worker_(Scientist)
11 145 3 Worker_(Scientist)
11 77 3 Spiritual_Member
11 114 3 Spiritual_Member
11 115 3 Spiritual_Member
11 221 3 Spiritual_Member
11 223 3 Spiritual_Member
11 309 3 Spiritual_Member
11 325 3 Spiritual_Member
11 347 3 Spiritual_Member
11 411 3 Spiritual_Member
11 509 3 Spiritual_Member
11 628 3 Spiritual_Member
11 630 3 Spiritual_Member
11 639 3 Spiritual_Member
11 430 3 Member
11 583 3 Member
11 587 3 Member
11 407 0 Child
11 314 3 Spiritual_Member
11 461 3 Member
11 494 3 Spiritual_Member
11 512 3 Spiritual_Member
11 573 3 Spiritual_Member
11 574 3 Spiritual_Member
11 576 3 Member
11 609 3 Member
11 662 3 Spiritual_Member
11 681 3 Spiritual_Member
12 400 3 Worker_(Teacher)
12 53 3 Student
12 629 3 Worker_(Teacher)
12 71 3 Student
12 231 3 Student
12 272 3 Worker_(Teacher)
12 605 3 Worker_(Teacher)
12 567 3 Worker_(Teacher)
12 442 3 Student
12 84 3 Spiritual_Member
12 92 3 Spiritual_Member
12 174 3 Spiritual_Member
12 284 3 Spiritual_Member
12 285 3 Spiritual_Member
12 311 3 Spiritual_Member
12 372 3 Spiritual_Member
12 373 3 Spiritual_Member
12 398 3 Spiritual_Member
12 433 3 Spiritual_Member
12 523 3 Spiritual_Member
12 532 3 Spiritual_Member
12 150 3 Member
12 521 3 Member
12 13 1 Spouse
12 408 0 Child
12 25 3 Member
12 44 3 Spiritual_Member
12 54 3 Spiritual_Member
12 67 3 Worker_(Teacher)
12 105 3 Spiritual_Member
12 168 3 Worker_(Teacher)
12 228 3 Spiritual_Member
12 250 3 Spiritual_Member
12 264 3 Spiritual_Member
12 341 3 Worker_(Teacher)
12 451 3 Member
12 487 3 Spiritual_Member
12 489 3 Spiritual_Member
12 531 3 Spiritual_Member
12 572 3 Member
12 589 3 Spiritual_Member
13 5 3 Worker_(Business_CEO)
13 12 1 Spouse
13 229 3 Student
13 400 3 Worker_(Teacher)
13 35 3 Worker_(Business_CEO)
13 220 3 Worker_(Salesman)
13 348 3 Worker_(Entrepeneur)
13 387 3 Worker_(Salesman)
13 79 3 Worker_(Business_CEO)
13 93 3 Worker_(Salesman)
13 453 3 Worker_(Salesman)
13 561 3 Worker_(Salesman)
13 57 3 Spiritual_Member
13 63 3 Spiritual_Member
13 109 3 Spiritual_Member
13 131 3 Spiritual_Member
13 170 3 Spiritual_Member
13 171 3 Spiritual_Member
13 178 3 Spiritual_Member
13 265 3 Spiritual_Member
13 323 3 Spiritual_Member
13 341 3 Spiritual_Member
13 399 3 Spiritual_Member
13 485 3 Spiritual_Member
13 695 3 Spiritual_Member
13 68 3 Member
13 490 3 Member
13 408 0 Child
13 66 3 Spiritual_Member
13 175 3 Spiritual_Member
13 179 3 Spiritual_Member
13 200 3 Spiritual_Member
13 506 3 Spiritual_Member
13 604 3 Spiritual_Member
13 618 3 Spiritual_Member
13 711 3 Spiritual_Member
14 135 3 Spiritual_Member
14 184 3 Spiritual_Member
14 185 3 Spiritual_Member
14 197 3 Spiritual_Member
14 320 3 Spiritual_Member
14 568 3 Spiritual_Member
14 587 3 Spiritual_Member
14 519 3 Member
14 520 3 Member
14 522 3 Member
14 618 3 Member
14 628 3 Member
14 69 3 Member
14 126 3 Member
14 297 3 Member
14 385 3 Member
14 15 1 Spouse
14 409 0 Child
14 410 0 Child
14 18 3 Spiritual_Member
14 292 3 Member
14 350 3 Spiritual_Member
14 371 3 Spiritual_Member
14 705 3 Spiritual_Member
15 14 1 Spouse
15 18 3 Spiritual_Member
15 184 3 Spiritual_Member
15 380 3 Spiritual_Member
15 409 3 Spiritual_Member
15 462 3 Spiritual_Member
15 587 3 Spiritual_Member
15 359 3 Member
15 386 3 Member
15 409 0 Child
15 410 0 Child
15 74 3 Student
15 259 3 Spiritual_Member
15 466 3 Spiritual_Member
15 513 3 Member
15 617 3 Spiritual_Member
15 705 3 Spiritual_Member
16 326 3 Student
16 29 3 Worker_(Nurse)
16 117 3 Worker_(Nurse)
16 708 3 Worker_(Nurse)
16 715 3 Worker_(Physician)
16 34 3 Spiritual_Member
16 129 3 Spiritual_Member
16 143 3 Spiritual_Member
16 146 3 Spiritual_Member
16 150 3 Spiritual_Member
16 219 3 Spiritual_Member
16 254 3 Spiritual_Member
16 267 3 Spiritual_Member
16 297 3 Spiritual_Member
16 307 3 Spiritual_Member
16 344 3 Spiritual_Member
16 393 3 Spiritual_Member
16 524 3 Spiritual_Member
16 547 3 Spiritual_Member
16 635 3 Member
16 95 3 Member
16 614 3 Member
16 17 1 Spouse
16 27 3 Spiritual_Member
16 52 3 Student
16 115 3 Student
16 243 3 Spiritual_Member
16 269 3 Worker_(Paramedic)
16 315 3 Member
16 421 3 Worker_(Paramedic)
16 490 3 Worker_(Paramedic)
16 492 3 Spiritual_Member
16 499 3 Spiritual_Member
16 714 3 Worker_(Paramedic)
17 16 1 Spouse
17 119 3 Student
17 19 3 Student
17 386 3 Worker_(Teacher)
17 411 3 Worker_(Teacher)
17 699 3 Worker_(Teacher)
17 502 3 Student
17 504 3 Student
17 620 3 Student
17 31 3 Spiritual_Member
17 95 3 Spiritual_Member
17 190 3 Spiritual_Member
17 191 3 Spiritual_Member
17 235 3 Spiritual_Member
17 481 3 Spiritual_Member
17 623 3 Spiritual_Member
17 467 3 Member
17 630 3 Member
17 678 3 Member
17 132 3 Spiritual_Member
17 159 3 Worker_(Teacher)
17 234 3 Spiritual_Member
17 389 3 Spiritual_Member
17 395 3 Spiritual_Member
17 412 3 Spiritual_Member
17 413 3 Spiritual_Member
17 454 3 Member
17 540 3 Spiritual_Member
17 619 3 Worker_(Teacher)
17 624 3 Spiritual_Member
17 702 3 Member
17 725 3 Spiritual_Member
18 15 3 Spiritual_Member
18 133 3 Student
18 14 3 Spiritual_Member
18 184 3 Spiritual_Member
18 197 3 Spiritual_Member
18 259 3 Spiritual_Member
18 587 3 Spiritual_Member
18 617 3 Spiritual_Member
18 707 3 Spiritual_Member
18 496 3 Member
18 19 1 Spouse
18 116 3 Member
18 271 3 Spiritual_Member
18 320 3 Spiritual_Member
18 505 3 Student
19 17 3 Student
19 18 1 Spouse
19 502 3 Student
19 121 3 Spiritual_Member
19 187 3 Spiritual_Member
19 194 3 Spiritual_Member
19 195 3 Spiritual_Member
19 299 3 Spiritual_Member
19 321 3 Spiritual_Member
19 329 3 Spiritual_Member
19 376 3 Spiritual_Member
19 381 3 Spiritual_Member
19 464 3 Spiritual_Member
19 707 3 Spiritual_Member
19 289 3 Member
19 34 3 Member
19 81 3 Member
19 185 3 Spiritual_Member
19 198 3 Spiritual_Member
19 377 3 Spiritual_Member
19 482 3 Spiritual_Member
19 529 3 Spiritual_Member
19 704 3 Spiritual_Member
20 248 3 Student
20 347 3 Worker_(Writer)
20 367 3 Worker_(Writer)
20 433 3 Worker_(Graphic_Designer)
20 114 3 Spiritual_Member
20 282 3 Spiritual_Member
20 283 3 Spiritual_Member
20 510 3 Spiritual_Member
20 629 3 Spiritual_Member
20 500 3 Member
20 21 1 Spouse
20 411 0 Child
20 370 3 Student
20 409 3 Member
21 20 1 Spouse
21 223 3 Spiritual_Member
21 309 3 Spiritual_Member
21 314 3 Spiritual_Member
21 315 3 Spiritual_Member
21 126 3 Member
21 411 0 Child
21 115 3 Spiritual_Member
21 133 3 Member
21 151 3 Spiritual_Member
21 316 3 Spiritual_Member
21 317 3 Spiritual_Member
21 352 3 Spiritual_Member
21 360 3 Student
21 628 3 Spiritual_Member
21 630 3 Spiritual_Member
24 372 3 Student
24 41 3 Student
24 108 3 Worker_(Nurse)
24 653 3 Worker_(Nurse)
24 704 3 Worker_(Doctor)
24 715 3 Worker_(Physician)
24 566 3 Worker_(Nurse)
24 121 3 Spiritual_Member
24 185 3 Spiritual_Member
24 187 3 Spiritual_Member
24 194 3 Spiritual_Member
24 199 3 Spiritual_Member
24 215 3 Spiritual_Member
24 321 3 Spiritual_Member
24 329 3 Spiritual_Member
24 369 3 Spiritual_Member
24 377 3 Spiritual_Member
24 381 3 Spiritual_Member
24 434 3 Spiritual_Member
24 482 3 Spiritual_Member
24 583 3 Member
24 318 3 Member
24 25 1 Spouse
24 414 0 Child
24 415 0 Child
24 29 3 Worker_(Doctor)
24 99 3 Member
24 117 3 Worker_(Doctor)
24 156 3 Student
24 170 3 Worker_(Doctor)
24 269 3 Worker_(Doctor)
24 376 3 Spiritual_Member
24 421 3 Worker_(Doctor)
24 490 3 Worker_(Doctor)
24 707 3 Spiritual_Member
24 708 3 Worker_(Doctor)
25 24 1 Spouse
25 108 3 Student
25 325 3 Worker_(Nurse)
25 329 3 Worker_(Nurse)
25 390 3 Worker_(Nurse)
25 514 3 Worker_(Doctor)
25 612 3 Worker_(Nurse)
25 82 3 Spiritual_Member
25 90 3 Spiritual_Member
25 103 3 Spiritual_Member
25 117 3 Spiritual_Member
25 156 3 Spiritual_Member
25 237 3 Spiritual_Member
25 266 3 Spiritual_Member
25 269 3 Spiritual_Member
25 324 3 Spiritual_Member
25 351 3 Spiritual_Member
25 580 3 Spiritual_Member
25 609 3 Spiritual_Member
25 684 3 Spiritual_Member
25 602 3 Member
25 691 3 Member
25 12 3 Member
25 414 0 Child
25 415 0 Child
25 92 3 Worker_(Nurse)
25 131 3 Worker_(Nurse)
25 258 3 Worker_(Nurse)
25 290 3 Spiritual_Member
25 309 3 Member
25 433 3 Member
25 500 3 Spiritual_Member
25 598 3 Member
25 601 3 Member
26 345 3 Worker_(Teacher)
26 164 3 Student
26 68 3 Spiritual_Member
26 71 3 Spiritual_Member
26 106 3 Spiritual_Member
26 142 3 Spiritual_Member
26 263 3 Spiritual_Member
26 287 3 Spiritual_Member
26 452 3 Spiritual_Member
26 514 3 Spiritual_Member
26 527 3 Spiritual_Member
26 544 3 Spiritual_Member
26 291 3 Member
26 311 3 Member
26 563 3 Member
26 27 1 Spouse
26 416 0 Child
26 417 0 Child
26 418 0 Child
26 120 3 Spiritual_Member
26 327 3 Spiritual_Member
26 366 3 Spiritual_Member
26 570 3 Spiritual_Member
26 619 3 Member
27 26 1 Spouse
27 16 3 Spiritual_Member
27 143 3 Spiritual_Member
27 146 3 Spiritual_Member
27 150 3 Spiritual_Member
27 219 3 Spiritual_Member
27 243 3 Spiritual_Member
27 248 3 Spiritual_Member
27 254 3 Spiritual_Member
27 260 3 Spiritual_Member
27 297 3 Spiritual_Member
27 307 3 Spiritual_Member
27 326 3 Spiritual_Member
27 364 3 Spiritual_Member
27 452 3 Spiritual_Member
27 499 3 Spiritual_Member
27 520 3 Member
27 416 0 Child
27 417 0 Child
27 418 0 Child
27 281 3 Student
27 322 3 Student
27 389 3 Member
27 524 3 Spiritual_Member
28 219 3 Student
28 116 3 Spiritual_Member
28 165 3 Spiritual_Member
28 222 3 Spiritual_Member
28 279 3 Spiritual_Member
28 338 3 Spiritual_Member
28 343 3 Spiritual_Member
28 391 3 Spiritual_Member
28 638 3 Spiritual_Member
28 699 3 Spiritual_Member
28 435 3 Member
28 529 3 Member
28 602 3 Member
28 521 3 Member
28 29 1 Spouse
28 190 3 Student
28 220 3 Spiritual_Member
28 289 3 Member
28 293 3 Spiritual_Member
28 345 3 Student
28 382 3 Spiritual_Member
28 417 3 Spiritual_Member
28 422 3 Spiritual_Member
28 482 3 Member
28 497 3 Spiritual_Member
28 515 3 Member
28 690 3 Student
29 16 3 Worker_(Nurse)
29 28 1 Spouse
29 31 3 Student
29 529 3 Student
29 24 3 Worker_(Doctor)
29 108 3 Worker_(Nurse)
29 693 3 Worker_(Nurse)
29 704 3 Worker_(Doctor)
29 715 3 Worker_(Physician)
29 143 3 Spiritual_Member
29 243 3 Spiritual_Member
29 260 3 Spiritual_Member
29 297 3 Spiritual_Member
29 307 3 Spiritual_Member
29 335 3 Spiritual_Member
29 344 3 Spiritual_Member
29 384 3 Spiritual_Member
29 492 3 Spiritual_Member
29 513 3 Spiritual_Member
29 547 3 Spiritual_Member
29 480 3 Member
29 290 3 Member
29 119 3 Worker_(Nurse)
29 146 3 Spiritual_Member
29 238 3 Member
29 276 3 Spiritual_Member
29 478 3 Member
29 524 3 Spiritual_Member
29 535 3 Spiritual_Member
29 563 3 Member
29 664 3 Spiritual_Member
29 708 3 Student
30 197 3 Student
30 271 3 Worker_(Counselor)
30 696 3 Worker_(Social_Worker)
30 707 3 Worker_(Counselor)
30 351 3 Member
30 505 3 Member
30 529 3 Member
30 40 3 Member
30 536 3 Member
30 640 3 Member
30 31 1 Spouse
30 419 0 Child
30 420 0 Child
30 241 3 Member
30 243 3 Student
30 369 3 Student
30 477 3 Worker_(Counselor)
31 17 3 Spiritual_Member
31 29 3 Student
31 30 1 Spouse
31 109 3 Worker_(Scientist)
31 116 3 Worker_(Scientist)
31 144 3 Worker_(Scientist)
31 145 3 Worker_(Scientist)
31 466 3 Worker_(Scientist)
31 119 3 Spiritual_Member
31 126 3 Spiritual_Member
31 133 3 Spiritual_Member
31 190 3 Spiritual_Member
31 234 3 Spiritual_Member
31 312 3 Spiritual_Member
31 395 3 Spiritual_Member
31 397 3 Spiritual_Member
31 412 3 Spiritual_Member
31 540 3 Spiritual_Member
31 541 3 Spiritual_Member
31 623 3 Spiritual_Member
31 214 3 Member
31 323 3 Member
31 458 3 Member
31 667 3 Member
31 241 3 Member
31 346 3 Member
31 523 3 Member
31 319 3 Member
31 419 0 Child
31 420 0 Child
31 191 3 Spiritual_Member
31 235 3 Student
31 327 3 Member
31 420 3 Spiritual_Member
31 477 3 Member
31 725 3 Spiritual_Member
34 16 3 Spiritual_Member
34 116 3 Spiritual_Member
34 168 3 Spiritual_Member
34 220 3 Spiritual_Member
34 222 3 Spiritual_Member
34 267 3 Spiritual_Member
34 293 3 Spiritual_Member
34 318 3 Spiritual_Member
34 343 3 Spiritual_Member
34 382 3 Spiritual_Member
34 385 3 Spiritual_Member
34 391 3 Spiritual_Member
34 421 3 Spiritual_Member
34 543 3 Spiritual_Member
34 558 3 Spiritual_Member
34 693 3 Spiritual_Member
34 698 3 Spiritual_Member
34 724 3 Spiritual_Member
34 19 3 Member
34 370 3 Member
34 389 3 Member
34 705 3 Member
34 35 1 Spouse
34 423 0 Child
34 158 3 Spiritual_Member
34 279 3 Spiritual_Member
34 330 3 Spiritual_Member
34 415 3 Member
35 5 3 Worker_(Business_CEO)
35 13 3 Worker_(Business_CEO)
35 34 1 Spouse
35 383 3 Student
35 394 3 Student
35 348 3 Worker_(Entrepeneur)
35 387 3 Worker_(Salesman)
35 79 3 Worker_(Business_CEO)
35 93 3 Worker_(Salesman)
35 438 3 Worker_(Business_CEO)
35 71 3 Spiritual_Member
35 106 3 Spiritual_Member
35 120 3 Spiritual_Member
35 263 3 Spiritual_Member
35 296 3 Spiritual_Member
35 366 3 Spiritual_Member
35 367 3 Spiritual_Member
35 406 3 Spiritual_Member
35 527 3 Spiritual_Member
35 605 3 Spiritual_Member
35 665 3 Spiritual_Member
35 724 3 Spiritual_Member
35 673 3 Member
35 347 3 Member
35 423 0 Child
35 83 3 Student
35 192 3 Student
35 193 3 Student
35 220 3 Worker_(Business_CEO)
35 226 3 Worker_(Business_CEO)
35 273 3 Member
35 292 3 Spiritual_Member
35 350 3 Student
35 414 3 Worker_(Business_CEO)
35 514 3 Spiritual_Member
35 566 3 Spiritual_Member
35 723 3 Spiritual_Member
38 9 3 Spiritual_Member
38 207 3 Student
38 172 3 Worker_(Consultant)
38 344 3 Worker_(Paralegal)
38 628 3 Worker_(Lawyer)
38 296 3 Worker_(Paralegal)
38 571 3 Worker_(Lawyer)
38 60 3 Spiritual_Member
38 140 3 Spiritual_Member
38 182 3 Spiritual_Member
38 243 3 Spiritual_Member
38 248 3 Spiritual_Member
38 286 3 Spiritual_Member
38 332 3 Spiritual_Member
38 334 3 Spiritual_Member
38 378 3 Spiritual_Member
38 384 3 Spiritual_Member
38 402 3 Spiritual_Member
38 423 3 Spiritual_Member
38 612 3 Spiritual_Member
38 722 3 Spiritual_Member
38 149 3 Member
38 198 3 Member
38 39 1 Spouse
38 176 3 Worker_(Consultant)
38 186 3 Spiritual_Member
38 221 3 Student
38 224 3 Spiritual_Member
38 354 3 Spiritual_Member
38 468 3 Member
38 576 3 Spiritual_Member
38 611 3 Student
39 38 1 Spouse
39 149 3 Worker_(Teacher)
39 304 3 Student
39 54 3 Worker_(Interior_Decorator)
39 193 3 Worker_(Interior_Decorator)
39 634 3 Worker_(Interior_Decorator)
39 689 3 Worker_(Interior_Decorator)
39 357 3 Member
39 485 3 Member
39 550 3 Member
39 608 3 Member
39 616 3 Member
39 633 3 Member
39 696 3 Student
40 30 3 Member
40 194 3 Student
40 451 3 Worker_(Professor)
40 8 3 Student
40 716 3 Worker_(Mathematician)
40 349 3 Worker_(Professor)
40 570 3 Student
40 178 3 Student
40 417 3 Member
40 515 3 Member
40 431 3 Member
40 491 3 Member
40 41 1 Spouse
40 191 3 Worker_(Professor)
40 249 3 Member
40 289 3 Member
40 435 3 Member
40 490 3 Worker_(Professor)
40 513 3 Worker_(Professor)
40 527 3 Worker_(Professor)
40 608 3 Worker_(Professor)
40 649 3 Member
41 24 3 Student
41 40 1 Spouse
41 385 3 Student
41 216 3 Worker_(Computer_Programmer)
41 99 3 Worker_(Computer_Technical_Support)
41 544 3 Worker_(Computer_Programmer)
41 577 3 Worker_(Computer_Programmer)
41 195 3 Worker_(Computer_Technical_Support)
41 83 3 Worker_(Graphic_Designer)
41 635 3 Worker_(Computer_Technical_Support)
41 705 3 Worker_(Computer_Programmer)
41 436 3 Worker_(Computer_Programmer)
41 118 3 Worker_(Computer_Programmer)
41 104 3 Member
41 440 3 Member
41 287 3 Member
41 299 3 Member
41 254 3 Member
41 50 3 Student
41 157 3 Student
41 293 3 Member
41 322 3 Member
41 384 3 Worker_(Computer_Programmer)
41 715 3 Member
42 231 3 Student
42 132 3 Spiritual_Member
42 389 3 Spiritual_Member
42 220 3 Member
42 268 3 Member
42 640 3 Member
42 43 1 Spouse
42 425 0 Child
42 426 0 Child
42 427 0 Child
42 428 0 Child
42 81 3 Spiritual_Member
42 95 3 Spiritual_Member
42 191 3 Spiritual_Member
42 234 3 Spiritual_Member
42 235 3 Spiritual_Member
42 395 3 Spiritual_Member
42 480 3 Spiritual_Member
42 587 3 Member
42 629 3 Student
43 42 1 Spouse
43 287 3 Member
43 582 3 Member
43 573 3 Member
43 425 0 Child
43 426 0 Child
43 427 0 Child
43 428 0 Child
43 74 3 Student
43 228 3 Member
43 267 3 Member
43 306 3 Student
43 464 3 Member
44 317 3 Student
44 347 3 Student
44 349 3 Student
44 558 3 Worker_(Fashion_Designer)
44 543 3 Worker_(Fashion_Designer)
44 555 3 Worker_(Fashion_Designer)
44 12 3 Spiritual_Member
44 50 3 Spiritual_Member
44 51 3 Spiritual_Member
44 62 3 Spiritual_Member
44 85 3 Spiritual_Member
44 109 3 Spiritual_Member
44 172 3 Spiritual_Member
44 241 3 Spiritual_Member
44 246 3 Spiritual_Member
44 247 3 Spiritual_Member
44 281 3 Spiritual_Member
44 341 3 Spiritual_Member
44 387 3 Spiritual_Member
44 530 3 Spiritual_Member
44 561 3 Spiritual_Member
44 71 3 Member
44 520 3 Member
44 605 3 Member
44 657 3 Member
44 45 1 Spouse
44 429 0 Child
44 430 0 Child
44 431 0 Child
44 55 3 Spiritual_Member
44 63 3 Spiritual_Member
44 91 3 Member
44 93 3 Spiritual_Member
44 98 3 Spiritual_Member
44 108 3 Spiritual_Member
44 133 3 Member
44 206 3 Spiritual_Member
44 229 3 Spiritual_Member
44 274 3 Member
44 386 3 Spiritual_Member
44 399 3 Spiritual_Member
44 695 3 Spiritual_Member
45 4 3 Spiritual_Member
45 44 1 Spouse
45 149 3 Student
45 273 3 Student
45 299 3 Student
45 337 3 Student
45 262 3 Student
45 356 3 Worker_(Nurse)
45 269 3 Worker_(Nurse)
45 141 3 Worker_(Nurse)
45 87 3 Worker_(Nurse)
45 108 3 Worker_(Nurse)
45 205 3 Worker_(Nurse)
45 8 3 Worker_(Doctor)
45 117 3 Worker_(Nurse)
45 715 3 Worker_(Physician)
45 490 3 Worker_(Doctor)
45 197 3 Worker_(Nurse)
45 50 3 Spiritual_Member
45 51 3 Spiritual_Member
45 85 3 Spiritual_Member
45 109 3 Spiritual_Member
45 170 3 Spiritual_Member
45 179 3 Spiritual_Member
45 206 3 Spiritual_Member
45 238 3 Spiritual_Member
45 247 3 Spiritual_Member
45 251 3 Spiritual_Member
45 341 3 Spiritual_Member
45 360 3 Spiritual_Member
45 387 3 Spiritual_Member
45 399 3 Spiritual_Member
45 436 3 Spiritual_Member
45 530 3 Spiritual_Member
45 697 3 Spiritual_Member
45 668 3 Member
45 429 0 Child
45 430 0 Child
45 431 0 Child
45 55 3 Spiritual_Member
45 98 3 Spiritual_Member
45 131 3 Spiritual_Member
45 173 3 Spiritual_Member
45 223 3 Member
45 241 3 Spiritual_Member
45 332 3 Student
45 351 3 Worker_(Paramedic)
45 432 3 Spiritual_Member
45 500 3 Member
45 590 3 Spiritual_Member
45 621 3 Member
47 394 3 Worker_(Graphic_Designer)
47 151 3 Worker_(Artist)
47 300 3 Worker_(Artist)
47 84 3 Spiritual_Member
47 105 3 Spiritual_Member
47 148 3 Spiritual_Member
47 192 3 Spiritual_Member
47 284 3 Spiritual_Member
47 311 3 Spiritual_Member
47 361 3 Spiritual_Member
47 373 3 Spiritual_Member
47 438 3 Spiritual_Member
47 259 3 Member
47 432 0 Child
47 433 0 Child
47 89 3 Member
47 147 3 Worker_(Artist)
47 149 3 Spiritual_Member
47 174 3 Spiritual_Member
47 193 3 Spiritual_Member
47 212 3 Worker_(Artist)
47 219 3 Member
47 240 3 Spiritual_Member
47 254 3 Student
47 372 3 Spiritual_Member
47 430 3 Spiritual_Member
47 442 3 Spiritual_Member
47 460 3 Member
47 650 3 Spiritual_Member
47 696 3 Spiritual_Member
50 5 3 Spiritual_Member
50 44 3 Spiritual_Member
50 45 3 Spiritual_Member
50 156 3 Student
50 372 3 Student
50 41 3 Student
50 263 3 Student
50 336 3 Student
50 288 3 Worker_(Salesman)
50 366 3 Worker_(Salesman)
50 93 3 Worker_(Salesman)
50 644 3 Worker_(Musician)
50 338 3 Worker_(Salesman)
50 523 3 Worker_(Musician)
50 55 3 Spiritual_Member
50 108 3 Spiritual_Member
50 109 3 Spiritual_Member
50 161 3 Spiritual_Member
50 172 3 Spiritual_Member
50 173 3 Spiritual_Member
50 238 3 Spiritual_Member
50 239 3 Spiritual_Member
50 241 3 Spiritual_Member
50 246 3 Spiritual_Member
